MP Blayais	libellé de risque identifié	libellé de contrôle	Code OCM	prescription de contrôle	Fiche du contrôle	Contributeur DIR	nombre global site	DIR	AUT	CDT	EC	ECE	ING	LOG	MSR	MTE	PPSI	QSPR	S3P	SIR	MRH	MCG	MCOM	
MP1	"Performance du pilotage globale insuffisante 
(Efficacité maitrise des risques, pilotage projet, perte de sens des actions, déploiement SMI 2020)"	"2 contrôles sur l'efficacité de la maitrise des risques / réalisation PCI Unité,
"	MP107	"Contrôle sur le taux de réalisation du PCI Uniré 2016 / Réalisation du PCI 2015 par semestre avec focus sur service Conduite/MP4/MP5,
"	dans MP1	dir cab	2	2																
MP1	"Performance du pilotage globale insuffisante 
(Efficacité maitrise des risques, pilotage projet, perte de sens des actions, déploiement SMI 2020)"	1 contrôle sur l'efficacité du pilotage du SMI (tx de réalisation programme, avancement des actions portants les projets)	MP111	Taux de réalisation des actions portants les projets majeurs (Leadership, Maintenance, Blayais après 2020 à minima)	dans MP1	dir cab	1	1																
MP1	Manque de maitrise lors du passage à la pérénisation du projet SdIN dans le SMI pour l'aspect usage (aspect données portés par le MP2 et MP6)	2 Contrôle sur le respect des usages au niveau des MP (à préciser par PLU)	MP112	"1 contrôle sur le Bilan annuel des usages du SDIN par chaque MP concernés après chaque revue de SP concernés (resp ASP et responsable de PE): 1 contrôles MP1 (MSI), 3 ctrl MP6 (PRE,MOD,REX), 4ctrl MP2 (1 ACT,1 VPP,1 TEM,1 ADT)
1 contrôle que le processus de maîtrise de la capitalisation fonctionne dans les services concernés (à minima AUTO, CD, MTE, MSR) -1S-"	dans MP1	"1 ASP 1 MSI (RSIT) -
1 PLU, 3 SDFP, 4 SD Exp."	13	9	1	1					1	1								
MP2	Avarie technique majeure (Alternateur, TP, GV, …) due à une défaillance matérielle ou une non-qualité de maintenance ou d'exploitation	Qualité des plannings TEM, fiabilité, ergonomie, utilisation par les acteurs	MP201	respect du planning, pertinence planning (horaire, charge EG2, durée prévue, calage sur le cycle...)	dans MP1	1 SD Exp	11	1	1	2	1	1		1	1	1			2					
MP2	Avarie technique majeure (Alternateur, TP, GV, …) due à une défaillance matérielle ou une non-qualité de maintenance ou d'exploitation	Prise en compte des priorités du point PERF	MP202	Prise en compte des priorités conformes, respect des délais, qualité des informations fournies au CE et à l'ITEM	dans MP1	1 DDP	1	1																
MP2	Avarie technique majeure (Alternateur, TP, GV, …) due à une défaillance matérielle ou une non-qualité de maintenance ou d'exploitation	Qualité des Fiches Problèmes émises et traitées par le TEM	MP203	Pertinence, complétude, mise à jour, identification des actions en cours	dans MP1	1 SD Exp	3	1		2														
MP2	Avarie technique majeure (Alternateur, TP, GV, …) due à une défaillance matérielle ou une non-qualité de maintenance ou d'exploitation	"Elaboration du planning ""cycle"" et prise en compte des activités dimensionnantes dans les services"	MP204	Intégration des contraintes cycles (périodes à risque, stretch,…), lissage de la charge, pertinence vis-à-vis des AT, …	dans MP1		2			1									1					
MP2	Avarie technique majeure (Alternateur, TP, GV, …) due à une défaillance matérielle ou une non-qualité de maintenance ou d'exploitation	Maintien des performances à PMD (pilotage à 100%) et des RPM	MP205	Optimisation du pilotage au plus près de la PMD	dans MP1		3			1		1	1											
MP2	Avarie technique majeure (Alternateur, TP, GV, …) due à une défaillance matérielle ou une non-qualité de maintenance ou d'exploitation	"CEF (pilotage, résultats, suivi). 
Pertinence et traitement des actions définies en RTHP"	MP206	Identification des pertes, pilotage des actions correctives et des investigations, calage des activités en RDT site et suivi de la réalisation, anticipation des besoins de PDR	dans MP1	1 SD Exp	4	1		1		2												
MP2	Avarie technique majeure (Alternateur, TP, GV, …) due à une défaillance matérielle ou une non-qualité de maintenance ou d'exploitation	Contrôle de la qualité de la préparation des dossiers TEM 	MP207	ADR, demandes de régime, préparation ressources, dossier, rex à l'intervenant…	dans MP1		13		2	1	2	1		1	2	2		2						
